Timestamp,Station,District,Freeway #,Direction of Travel,Lane Type,Station Length,Samples,% Observed,Total Flow,Avg Occupancy,Avg Speed,region
2006-11-06 15:00:00,764949,7,101,N,ML,0.775,30,25,588.0,0.1189,52.4,LA
2006-11-06 15:00:00,764958,7,101,N,ML,0.54,40,100,466.0,0.0718,56.4,LA
2006-11-06 15:00:00,765098,7,10,E,ML,0.37,40,100,593.0,0.068,60.7,LA
2006-11-06 15:00:00,765099,7,101,N,ML,0.225,60,100,712.0,0.0783,62.8,LA
2006-11-06 15:00:00,765101,7,101,N,ML,0.71,40,100,295.0,0.0416,77.1,LA
2006-11-06 15:00:00,765106,7,101,S,ML,0.82,30,100,421.0,0.0783,66.3,LA
2006-11-06 15:00:00,765150,7,101,S,ML,0.565,40,80,488.0,0.0612,68.7,LA
2006-11-06 15:00:00,765153,7,405,S,ML,0.645,38,100,406.0,0.082,50.2,LA
2006-11-06 15:00:00,765164,7,101,N,ML,0.335,40,50,498.0,0.0797,61.5,LA
2006-11-06 15:00:00,765169,7,405,S,HV,0.83,10,100,32.0,0.0141,65.1,LA
2006-11-06 15:00:00,765171,7,405,S,ML,0.495,40,100,338.0,0.054,63.8,LA
2006-11-06 15:00:00,765176,7,101,N,ML,0.31,49,100,545.0,0.0711,50.4,LA
2006-11-06 15:00:00,765182,7,101,N,ML,0.86,40,100,542.0,0.08,49.3,LA
2006-11-06 15:00:00,765263,7,405,S,HV,0.29,10,100,33.0,0.0506,48.8,LA
2006-11-06 15:00:00,765265,7,405,S,ML,0.29,40,100,315.0,0.0476,66.6,LA
2006-11-06 15:00:00,765451,7,10,E,ML,0.45,40,100,650.0,0.1535,30.9,LA
2006-11-06 15:00:00,765456,7,60,W,ML,2.837,37,75,383.0,0.1045,55.6,LA
2006-11-06 15:00:00,765461,7,60,W,ML,0.494,39,100,347.0,0.0616,50.7,LA
2006-11-06 15:00:00,765467,7,91,E,ML,0.45,50,100,635.0,0.0884,61.7,LA
2006-11-06 15:00:00,765472,7,101,N,ML,0.6,36,100,450.0,0.0713,62.7,LA
2006-11-06 15:00:00,765476,7,105,E,ML,0.48,30,100,290.0,0.2507,23.3,LA
2006-11-06 15:00:00,765477,7,210,E,ML,0.462,40,100,514.0,0.2284,27.4,LA
2006-11-06 15:00:00,765501,7,605,S,ML,1.231,40,75,418.0,0.0621,63.5,LA
2006-11-06 15:00:00,765508,7,10,E,HV,0.565,10,100,17.0,0.0093,62.8,LA
2006-11-06 15:00:00,765591,7,91,W,ML,0.36,36,100,451.0,0.0814,61.0,LA
2006-11-06 15:00:00,765604,7,170,N,ML,2.696,40,100,476.0,0.068,65.5,LA
2006-11-06 15:00:00,765605,7,170,N,HV,2.696,10,100,25.0,0.0116,64.9,LA
2006-11-06 15:00:00,765608,7,170,N,HV,0.67,10,100,28.0,0.0123,65.0,LA
2006-11-06 15:00:00,765610,7,170,N,HV,0.6,10,100,31.0,0.0188,60.0,LA
2006-11-06 15:00:00,765612,7,170,N,HV,0.795,10,100,37.0,0.0171,64.9,LA
2006-11-06 15:00:00,765618,7,170,N,HV,0.606,10,100,75.0,0.0776,37.0,LA
2006-11-06 15:00:00,765793,7,91,W,HV,0.775,10,100,8.0,0.0036,64.0,LA
2006-11-06 15:00:00,766209,7,91,E,ML,0.58,47,100,603.0,0.1091,58.8,LA
2006-11-06 15:00:00,766210,7,91,E,HV,0.58,10,100,58.0,0.1622,40.0,LA
2006-11-06 15:00:00,766211,7,91,W,ML,0.58,20,67,279.0,0.1316,51.8,LA
2006-11-06 15:00:00,766212,7,91,W,HV,0.58,10,100,50.0,0.1305,37.6,LA
2006-11-06 15:00:00,766508,7,605,N,HV,0.41,10,100,55.0,0.0276,65.2,LA
2006-11-06 15:00:00,766510,7,605,N,HV,0.3,10,100,45.0,0.0211,59.7,LA
2006-11-06 15:00:00,766512,7,605,N,HV,0.47,10,100,52.0,0.0214,63.7,LA
2006-11-06 15:00:00,766514,7,605,N,HV,0.325,10,100,36.0,0.0267,59.5,LA
2006-11-06 15:00:00,766516,7,605,N,HV,0.445,10,100,45.0,0.0194,66.0,LA
